"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1226","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227","#сядьзатекст","#ямы","#ямывсястрана","#московскоедело","#родинапоэтов",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1228","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1229","#свободуполитзаключённым","#митинг","#московскоедело","#суд","#МГД","#выборы","#умноеголосование","#Навальный","#navalny","#ФБК","#репрессии","#политика","#Москва","#Россия",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1230","#oXXXymiron","#сядьзатекст","#московскоедело","#егоржуков","#немытаяроссия",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1231","#свободуполитзаключенным","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1232","#oxxxymiron","#юрийшевчук","#сядьзатекст","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1233","#московскоедело","#свободуполитзаключенным","#нетрепрессиям","#митинг29сентября","#хватитмолчать",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1234","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1235","#СвободуВсем","#СвободуПолитзаключенным","#ЗаСвободу","#митинг","#видео","#московскоедело","#ЕвгенийКоваленко","#Москва","#Сахарова","#ешкинкрот",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1236","#Всёкакулюдей","#сядьзатекст","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1237","#сядьзатекст","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1238","#свободуполитзаключённым","#Миняйло","#АлексейМиняйло","#московскоедело","#суд","#МГД","#выборы","#умноеголосование","#Навальный","#navalny","#ФБК","#репрессии","#политика","#Москва","#Россия",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1239","#фбк","#навальный","#алексейнальный","#любовьсоболь","#мосгордума","#отпускай","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1240","#СвободуВсем","#СвободуПолитзаключенным","#ЗаСвободу","#митинг","#видео","#московскоедело","#ЕвгенийКоваленко","#Москва","#Сахарова","#ешкинкрот","#regrann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1241","#СвободуВсем","#СвободуПолитзаключенным","#ЗаСвободу","#митинг","#видео","#московскоедело","#ЕвгенийКоваленко","#Москва","#Сахарова","#россия","#карликдиктатор","#путин","#гарантпроституции","#путинскаяроссия","#ложь","#лицемерие","#пропаганда","#коррупция","#развалстраны","#убийствоэкономики","#нищета","#народлох","#терпилы","#ложьилицемериепутина","#мудократия",NA,NA,NA,NA,NA,NA
"1242","#отпускай","#россиябудущего","#свободукотову","#новоевеличие","#делосети","#свободуегоружукову","#московскоедело","#свободувладиславусинице","#свободуивануподкопаеву","#свободукириллужукову","#свободуевгениюковаленко","#свободуданилебеглецу",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1243","#отпускай","#россиябудущего","#свободукотову","#новоевеличие","#делосети","#свободуегоружукову","#московскоедело","#свободувладиславусинице","#свободуивануподкопаеву","#свободукириллужукову","#свободуевгениюковаленко","#свободуданилебеглецу",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1244","#алексейминяйло#свободуполитзаключенным#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1245","#московскоедело","#павелустинов","#иванподкопаев","#даниилбеглец","#кириллжуков","#евгенийковаленко","#константинкотов","#айдаргубайдуллин","#сергейфомин","#егоржуков","#самариддинраджабов","#никитачирцов","#эдуардмалышевский","#владиславсиница",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1246","#россия#патриот#нашастрана#ложь#лицемерие#коррупция#московскоедело#навальный",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1247","#рф","#россия","#российскаяфедерация","#московскоедело","#допускай","#суд","#москва","#столица","#столицароссии","#освбождение","#свобода","#пикет","#одиночныйпикет","#администрацияпрезидента",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1248","#ямывсястрана","#нерасходимся","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1249","#сядьзатекст","#oxxxymiron","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1250","#СвободуВсем","#СвободуПолитзаключенным","#ЗаСвободу","#митинг","#видео","#московскоедело","#ЕвгенийКоваленко","#Москва","#Сахарова","#россия","#карликдиктатор","#путин","#гарантпроституции","#путинскаяроссия","#ложь","#лицемерие","#пропаганда","#коррупция","#развалстраны","#убийствоэкономики","#нищета","#народлох","#терпилы","#ложьилицемериепутина","#мудократия",NA,NA,NA,NA,NA,NA
"1251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1252","#конституциярф","#московскоедело","#ямывсястрана","#отпускай","#кровосток","#acab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1253","#павелустинов","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1254","#свободасобраний","#московскоедело","#миняйло","#правачеловека","#freedomofassembly","#humanrights","#moscow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1255","#свободуполитзаключенным","#вернителешу","#дело212","#московскоедело","#россиябудетсвободной",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1256","#СвободуВсем","#СвободуПолитзаключенным","#ЗаСвободу","#митинг","#видео","#московскоедело","#ЕвгенийКоваленко","#Москва","#Сахарова","#ешкинкрот",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1257","#мк","#московскийкомсомолец","#общество","#московскоедело","#егоржуков","#самариддинраджабов",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1258","#московскоедело","#ямыстрана","#митинг29сентября","#290919","#29сентября",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1259","#мск","#москва","#московскоедело","#свободу","#moscow","#like","#life","#top","#likeforlike","#photographer","#photo","#world","#girl","#boy","#style","#blog","#cool","#summer","#sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1260","#отпускай","#митинг","#нетполитическимрепрессиям","#свободуполитзаключенным","#проспектсахарова","#московскоедело","#россиябудетсвободной","#хватитмолчать","#хватиттерпеть","#хватитбояться",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1261","#московскоедело","#свободупавлуустинову","#ямыпавелустинов","#ямыстрана","#дело212","#свободуполитзаключенным",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262","#Reposty:","#интерны","#тнт","#кпрф","#лдпр","#москва","#социализм","#капитализм","#феодализм","#путин","#маркс","#ЭНГЕЛЬС","#московскоедело","#moskow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1263","#СвободуВсем","#СвободуПолитзаключенным","#ЗаСвободу","#митинг","#видео","#московскоедело","#ЕвгенийКоваленко","#Москва","#Сахарова","#ешкинкрот",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1264","#СвободуПавлуУстинову","#свободуполитзаключенным","#московскоедело","#ямывсястрана",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1265","#ямывсястрана","#свободуполитзаключенным","#свободувсем","#московскоедело","#дело212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1266","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1267","#московскоедело","#отпускай",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1268","#rupression","#московскоедело","#делосети",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1269","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1270","#московскоедело","#павелустинов",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1271","#леонидфилатов","#сядьзатекст","#свободуполитзаключенным","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1272","#свободуКонстантинуКотову","#свободуполитзаключённым","#Котов","#КонстантинКотов","#московскоедело","#суд","#Мосгордума","#МГД","#выборы","#умноеголосование","#Навальный","#navalny","#ФБК","#репрессии","#политика","#Москва","#Россия",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1273","#сядьзатекст","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1274","#сядьзатекст","#московскоедело","#свободупавлуустинову","#ямыпавелустинов","#ямыстрана","#дело212","#свободуполитзаключенным","#митинг29сентября","#290919","#29сентября","#212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1275","#Устинова.","#гражданинРФ","#яжмать","#учитель","#красиваядевушка","#ЕГЭ","#общаге","#Московскоедело.","#Москве.","#ютьюбу,","#власть","#интеллигенции","#Платон_Ник,","#училки?","#либералы","#Недопекин,","#Устиновым,","#хайпа.","#капучино","#детьми","#друзьями.","#капучино,","#мирмоимиглазами","#девушка","#beatifulgirl","#кофе","#политика","#girlcoffe","#coffe",NA,NA
"1276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1277","#сядьзатекст","#московскоедело","#свободупавлуустинову","#ямыпавелустинов","#ямыстрана","#дело212","#свободуполитзаключенным","#митинг29сентября","#290919","#29сентября","#212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1278","#Дудь","#Тимати","#NoizeMC","#Путин'а","#Oxxxymiron","#сядьзатекст","#Есенин,","#Маяковский,","#Журналисты",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1279","#свободуполитзаключенным","#московскоедело","#свободусвободе","#чтомнеснегчтомнезной",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1280","#сядьзатекст","#Московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1281","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1282","#сядьзатекст","#московскоедело","#zatext",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1283","#стихи","#стихия","#стихиолюбви","#стихиожизни","#стихии","#стихидлядетей","#стихи21века","#стихипролюбовь","#стихидетям","#стихисобственногосочинения","#стихинасалфетке","#стихиовойне","#стихипрямовкровь","#стихивеликихпоэтов","#стихинемои","#стихиовесне","#стихиозиме","#стихиобосени","#стихиодуше","#стихипровойну","#стихиизинтернета","#стихивночи","#стихинестихи","#поэзия","#поэтесса","#сядьзатекст","#поэт","#московскоедело",NA,NA,NA
"1284","#устинов","#московскоедело","#ямыпавелустинов","#ямывсястрана","#павелустинов",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1285","#зеленоград","#московскоедолголетие","#московскоедело","#Притяжение","#танцы","#бальныетанцы","#бальныетанцызеленоград","#бальныетанцыдети","#школатанцев","#школабальныхтанцевзеленоград","#танцызеленоград","#бальники","#тскпритяжение","#притяжениезеленоград","#детитанцы","#бальныетанцыдети","#танцыдлядетей","#свадебныйтанец","#свадебныйтанецзеленоград","#постановкасвадебноготанцазеленоград","#танцыдлявзрослыхзеленоград","#хореографнасвадьбу","#танецженихаиневесты","#бальныетанцыдлявзрослых",NA,NA,NA,NA,NA,NA,NA
"1286","#митинг10августа","#ямыпавелустинов","#свободупавлуустинову","#павелустинов","#дмитрийгудков","#любовьсоболь","#мирныйпротест","#московскиевыборы","#политикароссии","#путинскаяроссия","#вернитевыборы","#допускай","#отпускай","#свободуполитзаключенным","#егоржуков","#свободуегоружукову","#константинкотов","#свободуконстантинукотову","#ильяяшин","#свободнаяроссия","#позорроссии","#произволвластей","#выборывмосгордуму","#московскоедело","#зачестныевыборы","#вшэ","#высшаяшколаэкономики","#жуковнетеррорист","#мирныйпротестнетерроризм","#арестанты212",NA
"1287","#Театрдок","#Театрdoc","#московскоедело","#подельники",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1288","#митинг","#ямыпавелустинов","#свободупавлуустинову","#митингмосква","#дмитрийгудков","#любовьсоболь","#мирныйпротест","#московскиевыборы","#политикароссии","#путинскаяроссия","#вернитевыборы","#допускай","#отпускай","#свободуполитзаключенным","#егоржуков","#свободуегоружукову","#константинкотов","#свободуконстантинукотову","#ильяяшин","#свободнаяроссия","#позорроссии","#произволвластей","#выборывмосгордуму","#московскоедело","#зачестныевыборы","#митинг29сентября","#высшаяшколаэкономики","#жуковнетеррорист","#мирныйпротестнетерроризм","#арестанты212",NA
"1289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1290","#сядьзатекст","#свободуполитзаключенным","#московскоедело","#дело212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1291","#Песков","#протест","#полиция","#печеньпоасфальту","#жестокость","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1292","#моссовет","#набоков","#машенька","#театр","#багдонас","#ивашкин","#лумпова","#хлынина","#сцена","#эмиграция","#театр","#садовая","#любовь","#актеры","#отзыв","#московскоедело","#mossovet","#nabokov","#teatral","#teatr","#theatre","#afisha","#moscow","#stage","#video",NA,NA,NA,NA,NA,NA
"1293","#московскоедело","#12апостолов","#ВеликийМученик","#МариясРосгвардейцем","#КайниАвель","#свободупавлуустинову","#свободувсем","#свободуполитзаключенным",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1295","#митинг10августа","#ямыпавелустинов","#свободупавлуустинову","#павелустинов","#дмитрийгудков","#любовьсоболь","#мирныйпротест","#московскиевыборы","#политикароссии","#путинскаяроссия","#вернитевыборы","#допускай","#отпускай","#свободуполитзаключенным","#егоржуков","#свободуегоружукову","#константинкотов","#свободуконстантинукотову","#ильяяшин","#свободнаяроссия","#позорроссии","#произволвластей","#выборывмосгордуму","#московскоедело","#зачестныевыборы","#вшэ","#высшаяшколаэкономики","#жуковнетеррорист","#мирныйпротестнетерроризм","#арестанты212",NA
"1296","#сядьзатекст","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1297","#россия","#краснодар","#свободаслова","#московскоедело","#сядьзатекст","#справедливость",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1298","#сядьзатекст","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1299","#ямывсястрана","#московскоедело","#павелустинов","#иванподкопаев","#даниилбеглец","#кириллжуков","#евгенийковаленко","#константинкотов","#айдаргубайдуллин","#сергейфомин","#егоржуков","#самариддинраджабов","#никитачирцов","#эдуардмалышевский","#владиславсиница",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1300","#московскоедело","#свободупавлуустинову","#павелустинов","#дело212","#свободувсем","#ямывсястрана",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1301","#Repost","#сядьзатекст","#московскоедело","#свободавыбора","#свободаслова",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1302","#сядьзатекст","#московскоедело","#freedom","#justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1303","#сядьзатекст","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1304","#московскоедело","#moscow","#москва","#проспектсахарова","#sakharovprospect","#repressions","#репрессии",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1305","#митинги","#егоржуков","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1306","#россия","#москвы","#выборы","#политика","#свободуполитзаключенным","#свободукотову","#свободужукову","#свободуегоружукову","#осень","#московскоедело","#хабенский","#хаматова","#рапопорт","#виторган",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1307","#московскоедело","#212","#свободасобраний","#егоржуков","#константинкотов","#алексейменяйло",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1308","#московскоедело#дело212#свободуполитзаключённым#свободуполитзаключенным",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1309","#московскоедело","#свободуегоружукову","#егоржуков",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1310","#ШлосбергLive","#Шлосберг","#ЯМЫВсяСтрана","#Псков","#Москва","#МосковскоеДело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1311","#сядьзатекст.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1312","#свободувсем#свободупавлуустинову#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1313","#свободувсем","#свободуполитзаключенным","#ямывсястрана","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1314","#свободупавлуустинову","#деломагнитского","#московскоедело","#свободуполитзаключенным","#сядьзатекст",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1315","#artintheworld___","#art","#modernart","#wallart","#instaart","#wordsoftheday","#стеныговорят","#italyart","#paint","#wordseverywhere","#art21","#graffiti","#russia","#ямывсястрана","#камерывезде","#следят","#московскоедело","#instagram","#instagramoftheday","#instagramrussia","#instagramoftheweek","#instamillion","#instagood","#instamoment","#instapic","#thewholeworld","#streetartist",NA,NA,NA,NA
"1316","#ВернитеЛешу","#ЯЛешаМиняйло","#дело212","#московскоедело","#ямывсястрана","#павелустинов",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1317","#джанниродари","#сядьзатекст","#песняплешивогокороля","#пропагандоны","#свободуполитзаключенным","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1318","#сядьзатекст","#московскоедело","#ямывсястрана","#свободуполитзаключенным",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1319","#сядьзатекст","#московскоедело","#ямывсястрана","#свободуполитзаключенным",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1320","#сядьзатекст","#zatext","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1321","#свободувсемполитзаключенным","#молчатьнельзя","#московскоедело","#сядьзатекст",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1322","#сядьзатекст","#московскоедело","#слабоумиеивальгалла",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1323","#мхтчехова","#свободупавлуустинову","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1324","#сядьзатекст#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1325","#сядьзатекст#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1326","#московскоедело","#свободуполитзаключенным","#свободусвободе","#будьчеловеком","#29сентября","#язадобро",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1327","#митинг10августа","#ямыпавелустинов","#свободупавлуустинову","#павелустинов","#дмитрийгудков","#любовьсоболь","#мирныйпротест","#московскиевыборы","#политикароссии","#путинскаяроссия","#вернитевыборы","#допускай","#отпускай","#свободуполитзаключенным","#егоржуков","#свободуегоружукову","#константинкотов","#свободуконстантинукотову","#ильяяшин","#свободнаяроссия","#позорроссии","#произволвластей","#выборывмосгордуму","#московскоедело","#зачестныевыборы","#вшэ","#высшаяшколаэкономики","#жуковнетеррорист","#мирныйпротестнетерроризм","#арестанты212",NA
